iter	Logloss
0	0.6858009124
1	0.6785990585
2	0.6722269964
3	0.6612575522
4	0.6504654678
5	0.6449309387
6	0.6392189017
7	0.6338880307
8	0.6288389452
9	0.6241107168
10	0.6199879285
11	0.6157870371
12	0.6107958294
13	0.6022598385
14	0.5951922716
15	0.5905010912
16	0.5869510314
17	0.5809353391
18	0.5766153307
19	0.5738334357
20	0.5710419444
21	0.5683971462
22	0.5657056263
23	0.5633185261
24	0.5607408507
25	0.5585579924
26	0.5567539715
27	0.5533137127
28	0.5509456216
29	0.5493317752
30	0.5473124246
31	0.5453367521
32	0.5428300971
33	0.5406863627
34	0.5372238101
35	0.5356117725
36	0.5345875047
37	0.5330768497
38	0.5319844365
39	0.5295559252
40	0.5261983417
41	0.5242140142
42	0.5219899842
43	0.5207709201
44	0.5193375453
45	0.5175547431
46	0.5145044236
47	0.5125555664
48	0.5116371353
49	0.5105651498
50	0.508456738
51	0.5073545264
52	0.5052475361
53	0.5043643716
54	0.5034716635
55	0.5026862311
56	0.5011901613
57	0.5005956765
58	0.4988691721
59	0.4972794274
60	0.4962170318
61	0.4953801364
62	0.4945132308
63	0.4916078274
64	0.4907711366
65	0.4900340336
66	0.4881780875
67	0.4875162979
68	0.4869815022
69	0.4860674224
70	0.4840376314
71	0.4822958292
72	0.4815861341
73	0.4808132653
74	0.4799581794
75	0.4784982746
76	0.477880683
77	0.47737401
78	0.4768011144
79	0.476020697
80	0.4752918748
81	0.4745373062
82	0.4740211352
83	0.4737046603
84	0.4731002291
85	0.4717331257
86	0.4706568735
87	0.4699061709
88	0.4694306528
89	0.4690379397
90	0.4682913313
91	0.4676404246
92	0.4671477651
93	0.465957152
94	0.4648143169
95	0.4643766057
96	0.4639014004
97	0.4635027718
98	0.4630493186
99	0.4619971809
100	0.4609490837
101	0.4602156645
102	0.4597375038
103	0.4574193359
104	0.4569058237
105	0.4564846698
106	0.4562010576
107	0.4550856767
108	0.4541019999
109	0.4537127933
110	0.4531952003
111	0.4526681764
112	0.4522992031
113	0.4502200596
114	0.4497396361
115	0.4492009461
116	0.4488480454
117	0.448350235
118	0.448005432
119	0.4468162167
120	0.4458920452
121	0.4456020241
122	0.4450969776
123	0.4447435478
124	0.4439514565
125	0.4433292299
126	0.4430889521
127	0.4428158606
128	0.4425549362
129	0.4422046926
130	0.4417383022
131	0.4412762621
132	0.4409477086
133	0.4405838745
134	0.4401213911
135	0.439414693
136	0.4391436015
137	0.4388578469
138	0.4385539532
139	0.437444729
140	0.4370932591
141	0.4366963033
142	0.4363254436
143	0.4358263372
144	0.435513608
145	0.4351401377
146	0.4348234785
147	0.4345699055
148	0.4341659174
149	0.4339074913
150	0.4335416801
151	0.4330324576
152	0.4327929928
153	0.4324912336
154	0.4320578887
155	0.4317928249
156	0.4316102142
157	0.4313209602
158	0.4309357341
159	0.4305689013
160	0.4303464215
161	0.4299244092
162	0.4295884053
163	0.4292147773
164	0.4288620203
165	0.4279786155
166	0.4277586526
167	0.4274052874
168	0.4271885588
169	0.4266063555
170	0.4262163897
171	0.4259367072
172	0.425724989
173	0.4251443015
174	0.4248146554
175	0.4245881758
176	0.4242785623
177	0.4238973429
178	0.423549215
179	0.4233212735
180	0.4230734585
181	0.4228796515
182	0.4222647583
183	0.4220647656
184	0.4216143324
185	0.4213288803
186	0.4209857822
187	0.4204849477
188	0.4199393571
189	0.4195052625
190	0.4192185094
191	0.4189604752
192	0.4186391925
193	0.4181121269
194	0.4178277363
195	0.4175192048
196	0.4172712868
197	0.4171336041
198	0.4168977436
199	0.4165524494
200	0.416058472
201	0.4158288176
202	0.4156028605
203	0.4152643639
204	0.4148356747
205	0.4144539914
206	0.4142285261
207	0.4139367565
208	0.4135818416
209	0.4133414845
210	0.4132261997
211	0.4129813239
212	0.4126199922
213	0.4119005552
214	0.4104396939
215	0.4101028431
216	0.4099622105
217	0.4097424787
218	0.4094539594
219	0.4090671328
220	0.408715568
221	0.4084693683
222	0.4081647822
223	0.4078745134
224	0.4077201826
225	0.4074073967
226	0.4069652599
227	0.4065629663
228	0.4063437769
229	0.4058938817
230	0.4056412195
231	0.405393678
232	0.4051057452
233	0.4047801709
234	0.4043782032
235	0.4036689497
236	0.403249778
237	0.4020147558
238	0.401881466
239	0.4015794668
240	0.4012511504
241	0.4008293621
242	0.4005914281
243	0.400320647
244	0.4001874452
245	0.3998431485
246	0.3992837316
247	0.398801128
248	0.3986478455
249	0.3983527535
250	0.3981450953
251	0.3979615396
252	0.3977593957
253	0.3975413364
254	0.3973851928
255	0.3972111215
256	0.3969995744
257	0.3968297158
258	0.3965917629
259	0.395676948
260	0.3951819422
261	0.3949401741
262	0.3946724971
263	0.3945560525
264	0.3939345439
265	0.3937102091
266	0.3935761301
267	0.3934241703
268	0.393261656
269	0.3930122851
270	0.3927997698
271	0.3923413832
272	0.3921030757
273	0.3918227639
274	0.3913324819
275	0.3910803882
276	0.3909571148
277	0.3907332963
278	0.3905472161
279	0.3902320311
280	0.3899654193
281	0.38983656
282	0.388914311
283	0.3886658271
284	0.3884582873
285	0.3881226548
286	0.3877633499
287	0.3875792543
288	0.3873696735
289	0.3870885276
290	0.3867880417
291	0.3865290561
292	0.3861651732
293	0.3859792277
294	0.3858277052
295	0.3855833593
296	0.3853748113
297	0.3847651355
298	0.3844151524
299	0.3842171273
300	0.3837691329
301	0.3835733193
302	0.3832069043
303	0.3830717435
304	0.3827842608
305	0.382472797
306	0.3822980576
307	0.3821258818
308	0.3818850255
309	0.3816084915
310	0.3813773304
311	0.381244165
312	0.3811163713
313	0.3809572209
314	0.380864479
315	0.3806061726
316	0.3803294232
317	0.3795718735
318	0.3793115487
319	0.3791263096
320	0.3790090944
321	0.3786685257
322	0.3783275472
323	0.3780147469
324	0.3777257323
325	0.3776095692
