iter	Passed	Remaining
0	17	17383
1	31	15786
2	45	15215
3	59	14717
4	76	15139
5	99	16483
6	115	16354
7	129	16021
8	143	15764
9	156	15504
10	170	15290
11	183	15073
12	195	14880
13	203	14342
14	210	13794
15	218	13428
16	225	13048
17	233	12716
18	239	12382
19	246	12081
20	253	11838
21	263	11696
22	269	11447
23	275	11221
24	282	11017
25	289	10836
26	296	10673
27	302	10511
28	309	10359
29	316	10228
30	322	10090
31	329	9966
32	336	9848
33	342	9735
34	349	9648
35	356	9558
36	363	9467
37	370	9384
38	377	9296
39	383	9212
40	390	9138
41	397	9060
42	403	8986
43	410	8923
44	417	8852
45	423	8786
46	430	8721
47	436	8661
48	443	8603
49	449	8549
50	456	8501
51	463	8452
52	470	8407
53	477	8359
54	483	8315
55	490	8272
56	497	8226
57	503	8182
58	510	8136
59	516	8095
60	523	8054
61	529	8017
62	536	7980
63	543	7943
64	549	7908
65	556	7875
66	562	7839
67	569	7800
68	575	7764
69	584	7760
70	591	7738
71	597	7707
72	608	7729
73	620	7766
74	632	7802
75	639	7778
76	646	7750
77	653	7725
78	660	7694
79	666	7666
80	673	7639
81	679	7612
82	686	7586
83	694	7568
84	700	7542
85	707	7520
86	714	7494
87	720	7470
88	727	7443
89	734	7424
90	740	7400
91	747	7377
92	753	7350
93	760	7327
94	766	7305
95	773	7282
96	785	7317
97	799	7354
98	810	7378
99	823	7413
100	836	7448
101	848	7474
102	861	7506
103	874	7533
104	886	7558
105	899	7582
106	912	7611
107	925	7646
108	938	7670
109	951	7694
110	963	7719
111	977	7746
112	993	7795
113	1008	7836
114	1017	7826
115	1023	7800
116	1030	7775
117	1042	7794
118	1050	7774
119	1056	7749
120	1063	7728
121	1070	7703
122	1077	7680
123	1090	7701
124	1103	7725
125	1116	7747
126	1126	7743
127	1132	7716
128	1139	7691
129	1145	7665
130	1151	7640
131	1158	7616
132	1164	7591
133	1171	7568
134	1177	7545
135	1184	7522
136	1190	7499
137	1196	7476
138	1203	7454
139	1209	7432
140	1216	7410
141	1222	7388
142	1229	7366
143	1235	7344
144	1242	7323
145	1248	7302
146	1254	7281
147	1261	7260
148	1267	7239
149	1274	7219
150	1280	7199
151	1287	7181
152	1293	7161
153	1300	7141
154	1306	7123
155	1313	7104
156	1319	7086
157	1326	7067
158	1332	7049
159	1339	7031
160	1345	7014
161	1352	6997
162	1359	6978
163	1365	6961
164	1371	6943
165	1378	6925
166	1385	6908
167	1391	6891
168	1398	6874
169	1404	6856
170	1410	6839
171	1417	6823
172	1423	6806
173	1430	6789
174	1436	6772
175	1446	6770
176	1452	6754
177	1459	6737
178	1467	6732
179	1480	6744
180	1487	6730
181	1494	6716
182	1501	6702
183	1507	6686
184	1514	6670
185	1520	6654
186	1530	6651
187	1537	6638
188	1546	6635
189	1552	6620
190	1562	6618
191	1568	6602
192	1578	6600
193	1585	6585
194	1594	6583
195	1601	6568
196	1610	6565
197	1617	6550
198	1627	6550
199	1633	6534
200	1642	6530
201	1649	6516
202	1658	6512
203	1665	6498
204	1674	6495
205	1681	6482
206	1691	6478
207	1697	6464
208	1706	6460
209	1718	6463
210	1730	6469
211	1742	6478
212	1754	6482
213	1768	6496
214	1775	6483
215	1782	6469
216	1790	6461
217	1797	6448
218	1803	6432
219	1810	6418
220	1818	6409
221	1824	6394
222	1831	6379
223	1837	6365
224	1843	6350
225	1850	6336
226	1857	6324
227	1863	6310
228	1870	6296
229	1876	6283
230	1889	6290
231	1900	6290
232	1906	6276
233	1913	6263
234	1919	6249
235	1926	6236
236	1932	6222
237	1939	6209
238	1948	6204
239	1955	6192
240	1962	6181
241	1969	6168
242	1976	6157
243	1982	6144
244	1989	6130
245	1995	6116
246	2002	6103
247	2008	6090
248	2014	6076
249	2021	6064
250	2027	6051
251	2034	6037
252	2040	6024
253	2046	6011
254	2053	6000
255	2060	5987
256	2067	5975
257	2073	5963
258	2080	5951
259	2086	5939
260	2093	5927
261	2102	5923
262	2114	5926
263	2126	5927
264	2135	5922
265	2141	5909
266	2148	5897
267	2154	5885
268	2161	5873
269	2168	5862
270	2175	5851
271	2182	5840
272	2189	5829
273	2195	5818
274	2202	5806
275	2209	5795
276	2215	5782
277	2221	5770
278	2228	5758
279	2234	5746
280	2241	5734
281	2251	5733
282	2262	5731
283	2268	5719
284	2277	5713
285	2283	5701
286	2290	5690
287	2296	5678
288	2303	5667
289	2309	5654
290	2316	5643
291	2322	5631
292	2329	5622
293	2336	5611
294	2342	5599
295	2349	5587
296	2355	5576
297	2362	5565
298	2368	5553
299	2375	5542
300	2381	5530
301	2387	5519
302	2394	5507
303	2400	5496
304	2407	5485
305	2413	5474
306	2420	5462
307	2429	5458
308	2436	5448
309	2442	5436
310	2449	5426
311	2455	5414
312	2465	5410
313	2477	5413
314	2490	5415
315	2503	5418
316	2514	5418
317	2527	5420
318	2540	5422
319	2552	5424
320	2565	5426
321	2577	5426
322	2588	5426
323	2598	5420
324	2609	5419
325	2615	5407
326	2622	5396
327	2629	5386
328	2635	5375
329	2642	5365
330	2648	5353
331	2655	5342
332	2661	5331
333	2668	5320
334	2675	5310
335	2682	5301
336	2688	5289
337	2695	5278
338	2701	5268
339	2708	5258
340	2715	5248
341	2722	5237
342	2728	5226
343	2735	5216
344	2741	5205
345	2748	5195
346	2755	5186
