iter	F1	Logloss
0	0.6193186227	0.687648493
1	0.6193186227	0.6821984412
2	0.6327303104	0.6765122693
3	0.6299037524	0.6717015751
4	0.6288606735	0.6664122208
5	0.6193186227	0.662183107
6	0.6287922262	0.657705062
7	0.6369743814	0.6533828158
8	0.6445289214	0.6494761418
9	0.6483781912	0.6459890652
10	0.6491090621	0.6426019018
11	0.6547595795	0.6387889269
12	0.6524047647	0.6356126587
13	0.6552336394	0.6320906733
14	0.6550490155	0.6293907222
15	0.6548386116	0.6262348348
16	0.6550843253	0.623324627
17	0.6563196149	0.6207902688
18	0.656987274	0.618237523
19	0.6562516697	0.6162809583
20	0.6561643541	0.6141789693
21	0.6559210969	0.611727036
22	0.65608639	0.6097387917
23	0.6546177523	0.6078979761
24	0.6538223427	0.6060175708
25	0.654754516	0.6044999397
26	0.6559787241	0.6030276582
27	0.6569939301	0.6014155972
28	0.6567699728	0.599940141
29	0.6569939301	0.5985200471
30	0.6569255383	0.5972834385
31	0.6565647484	0.5962454217
32	0.6575774935	0.5950310895
33	0.6577142547	0.594085411
34	0.6578510728	0.5929348797
35	0.657937036	0.5920218177
36	0.6578510728	0.5911423753
37	0.658073793	0.5904141236
38	0.6573041416	0.5894455636
39	0.65853502	0.5887338507
40	0.6581939042	0.5878710501
41	0.6580402118	0.5872426183
42	0.6582620991	0.5865246486
43	0.659166061	0.5857043724
44	0.6608127895	0.5852726292
45	0.6610317143	0.584586265
46	0.6611682268	0.5840656051
47	0.6617964403	0.5834631357
48	0.6615915311	0.5828817591
49	0.6603204217	0.5824591717
50	0.6600324187	0.5819334598
51	0.6613594237	0.5813863984
52	0.6620569339	0.5809963371
53	0.661291045	0.5805078305
54	0.6611404028	0.5800360772
55	0.6616330801	0.5796325213
56	0.6607841725	0.5792483188
57	0.6613457164	0.5787666347
58	0.6633029946	0.5783580131
59	0.6644924518	0.5779656487
60	0.6635776508	0.5774821868
61	0.6627986507	0.5770882933
62	0.6627299741	0.5767817027
63	0.6627299741	0.5764458843
64	0.663291403	0.5761745192
65	0.6627986507	0.5758645647
66	0.6639900619	0.5755024552
67	0.664413369	0.5752607908
68	0.6649739066	0.5749175823
69	0.6650427428	0.5746147415
70	0.6646886401	0.5743055822
71	0.6648952432	0.5740033219
72	0.6661630076	0.5737593058
73	0.6656719136	0.5735356081
74	0.665180458	0.5733277733
75	0.6647574935	0.5730921537
76	0.6657408181	0.5728224905
77	0.6658097369	0.5724816034
78	0.6653182302	0.5722457356
79	0.6653182302	0.5720873136
80	0.665180458	0.571925263
81	0.665180458	0.5717682242
82	0.6656719136	0.571607499
83	0.6660940919	0.5714547914
84	0.6660940919	0.5712477456
85	0.6663008817	0.5710558339
86	0.6667916651	0.5708708447
87	0.6675651311	0.5705936957
88	0.6681237737	0.5704374847
89	0.6680547568	0.5701804575
90	0.6680547568	0.5698566429
91	0.6691710781	0.5696300735
92	0.6672820874	0.569380058
93	0.6674891578	0.5690861108
94	0.6679792953	0.5688529796
95	0.6670676862	0.5686748749
96	0.6673510966	0.5685299422
97	0.6678411835	0.5683392243
98	0.6680483727	0.5681766651
99	0.6681174643	0.5679434966
100	0.6685381749	0.5677404831
101	0.6690967591	0.567594728
102	0.6686764229	0.5674318313
103	0.6680483727	0.5673411717
104	0.6681174643	0.5670969774
105	0.6676272762	0.5669200227
106	0.6681174643	0.5668248803
107	0.6681865702	0.5666584773
108	0.6681865702	0.5665318776
109	0.6686072918	0.5664144136
110	0.6691659154	0.5662851216
111	0.6691659154	0.5660674335
112	0.6687455684	0.5658395618
113	0.6686764229	0.5657416446
114	0.6687455684	0.5655865452
115	0.6687455684	0.5655091633
116	0.6683248249	0.5653078021
117	0.6683248249	0.5651508256
118	0.6687455684	0.5650174567
119	0.6686764229	0.5649381242
120	0.6690967591	0.5648307018
121	0.6686764229	0.5647143459
122	0.6691659154	0.5645413359
123	0.6691659154	0.5644398941
124	0.6687455684	0.5643777349
125	0.6677654518	0.5641538078
126	0.6688147281	0.564048811
127	0.6683248249	0.5639703609
128	0.6683248249	0.563860241
129	0.6682556904	0.5637199645
130	0.667834561	0.5636233274
131	0.667343936	0.5635751833
132	0.667343936	0.5634836769
133	0.6683248249	0.5632880929
134	0.6688839022	0.5631455528
135	0.6683248249	0.562996429
136	0.6682556904	0.5628057083
137	0.6683939737	0.5626326869
138	0.6674130342	0.5625283852
139	0.6681174643	0.5623791783
140	0.6676963569	0.5621910716
141	0.6676272762	0.5621225092
142	0.6676272762	0.5620337587
143	0.6681865702	0.5619380887
144	0.6676963569	0.5618549509
145	0.6676963569	0.5618004198
146	0.6686764229	0.5616663099
147	0.6684690723	0.56148399
148	0.6683999841	0.5614334049
149	0.6682618503	0.5612964702
150	0.6683309101	0.5612178805
151	0.6683309101	0.5611512076
152	0.6683309101	0.5610407466
153	0.6678411835	0.5608995117
154	0.6678411835	0.5607858782
155	0.6678411835	0.5607228596
156	0.6679102323	0.5606095571
